ParentName,Hospital Count
Abbey Sefton Hospital (University Hospital Aintree),1
Airedale NHS Foundation Trust,3
Alder Hey Children's NHS Foundation Trust,1
All Hallows Hospital,1
Alliance Medical,1
Anglian Community Enterprise Community Interest Company (ACE CIC),2
Ascenti,2
Aset Hospital Hassan Shaaban Limited,1
Ashford and St Peter's Hospitals NHS Foundation Trust,2
Aspen Healthcare Limited,5
Avon and Wiltshire Mental Health Partnership NHS Trust,6
BMI Healthcare,43
Barchester Healthcare Ltd,7
"Barking, Havering and Redbridge University Hospitals NHS Trust",6
"Barnet, Enfield and Haringey Mental Health NHS Trust",1
Barnsley Hospital NHS Foundation Trust,1
Barts Health NHS Trust,7
Bedford Hospital NHS Trust,2
Benenden Hospital,1
Berkshire Healthcare NHS Foundation Trust,6
Birmingham Community Healthcare NHS Foundation Trust,4
Birmingham Women's and Children's NHS Foundation Trust,2
Birmingham and Solihull Mental Health NHS Foundation Trust,18
Black Country Healthcare NHS Foundation Trust,7
Blackpool Teaching Hospitals NHS Foundation Trust,3
Bolton NHS Foundation Trust,1
Brackley Hospital,1
Bradford District NHS Foundation Trust,3
Bradford Teaching Hospitals NHS Foundation Trust,6
Brewood Medical Services Ltd,1
Bridgewater Community Healthcare NHS Foundation Trust,1
Bridgewater Hospital (Manchester) Ltd,1
Brighton and Sussex University Hospitals NHS Trust,6
Brookdale Healthcare Ltd (T/A Brookdale Care),1
Buckinghamshire Healthcare NHS Trust,8
Bupa Group,1
Burrswood Health and Wellbeing,1
Burton Hospitals NHS Foundation Trust,1
Calderdale and Huddersfield NHS Foundation Trust,4
Cambian Healthcare Limited,2
Cambridge University Hospitals NHS Foundation Trust,6
Cambridgeshire Community Services NHS Trust,1
Cambridgeshire and Peterborough NHS Foundation Trust,4
Camden and Islington NHS Foundation Trust,3
Capio UK,1
Central London Community Healthcare NHS Trust,1
Central and North West London NHS Foundation Trust,6
Chartwell Private Hospitals Ltd,1
Chelsea and Westminster Hospital NHS Foundation Trust,2
Cheshire and Wirral Partnership NHS Foundation Trust,3
Chesterfield Royal Hospital NHS Foundation Trust,1
Chime Social Enterprise,1
Circle Health,3
City Health Care Partnership Cic,4
City Hospitals Sunderland NHS Foundation Trust,2
Claremont & St Hugh's Hospitals (Hmt),1
Community Health And Eyecare Limited,2
Cornwall Hospice Care Limited,2
Cornwall Partnership NHS Foundation Trust,11
Countess Of Chester Hospital NHS Foundation Trust,3
County Durham and Darlington NHS Foundation Trust,12
Coventry and Warwickshire Partnership NHS Trust,4
Croydon Health Services NHS Trust,2
Cumbria Northumberland Tyne and Wear NHS Foundation Trust,8
Curocare Ltd Head Office,2
Cygnet Health Care Limited,24
DHU Health Care CIC,2
Dartford and Gravesham NHS Trust,4
Derbyshire Community Health Services NHS Foundation Trust,11
Derbyshire Healthcare NHS Foundation Trust,2
Devon Partnership NHS Trust,3
Dmc Community Outpatient Services,1
Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,4
Dorset County Hospital NHS Foundation Trust,1
Dorset Healthcare University NHS Foundation Trust,20
E-Logica Ltd,1
East Cheshire NHS Trust,3
East Coast Community Healthcare C.I.C,1
East Kent Hospitals University NHS Foundation Trust,4
East Kent Medical Services Ltd,2
East Lancashire Hospitals NHS Trust,5
East London NHS Foundation Trust,7
East Suffolk and North Essex NHS Foundation Trust,6
East Sussex Healthcare NHS Trust,5
East and North Hertfordshire NHS Trust,3
Ellern Mede Barnet,1
Elysium Healthcare,1
Epsom and St Helier University Hospitals NHS Trust,10
Epsomedical Group,2
Equilibrium Healthcare,1
Essex Partnership University NHS Foundation Trust,2
Fairfield Hospital,1
First Community Health and Care,1
Foscote Court (Banbury) Trust Ltd,1
Frimley Health NHS Foundation Trust,3
Gateshead Health NHS Foundation Trust,2
George Eliot Hospital NHS Trust,1
Gloucestershire Care Services Cic,1
Gloucestershire Care Services NHS Trust,8
Gloucestershire Health and Care NHS Foundation Trust,6
Gloucestershire Hospitals NHS Foundation Trust,5
Great Ormond Street Hospital for Children NHS Foundation Trust,2
Great Western Hospitals NHS Foundation Trust,5
Greater Manchester Mental Health NHS Foundation Trust,4
Guy's and St Thomas' NHS Foundation Trust,3
Hampshire Hospitals NHS Foundation Trust,4
Harrogate and District NHS Foundation Trust,5
Hca International,6
Hertfordshire Community NHS Trust,3
Hertfordshire Partnership University NHS Foundation Trust,1
Homerton University Hospital NHS Foundation Trust,2
Hounslow and Richmond Community Healthcare NHS Trust,1
Hull University Teaching Hospitals NHS Trust,2
Humber Teaching NHS Foundation Trust,12
Imperial College Healthcare NHS Trust,5
InHealth Group Limited,1
Isight,1
Isle Of Wight NHS Trust,1
James Paget University Hospitals NHS Foundation Trust,1
John Munroe Hospital,2
KIMS Hospital,1
Kent Community Health NHS Foundation Trust,12
Kent and Medway NHS and Social Care Partnership Trust,3
Kettering General Hospital NHS Foundation Trust,2
King's College Hospital NHS Foundation Trust,3
Kingston Hospital NHS Foundation Trust,3
Kinvara Private Hospital Ltd,1
Lakeside Medical Diagnostics,1
Lancashire & South Cumbria NHS Foundation Trust,4
Lancashire Teaching Hospitals NHS Foundation Trust,3
Leeds Teaching Hospitals NHS Trust,6
Leeds and York Partnership NHS Foundation Trust,6
Lewisham and Greenwich NHS Trust,2
Lincolnshire Community Health Services NHS Trust,6
Lincolnshire Partnership NHS Foundation Trust,7
Liverpool Heart and Chest NHS Foundation Trust,1
Liverpool University Hospitals NHS Foundation Trust,4
Liverpool Women's NHS Foundation Trust,1
Livewell Southwest,2
Llr Provider Company Ltd,1
London North West University Healthcare NHS Trust,5
Luton and Dunstable University Hospital NHS Foundation Trust,2
Maidstone and Tunbridge Wells NHS Trust,3
Making Space,1
Malling Health UK Limited,1
Manchester Private Clinic Ltd,1
Manchester University NHS Foundation Trust,9
Mastercall Healthcare,1
Medical Imaging Partnership Ltd,1
Medical Innovations Centre Ltd T/A Harley Street Specialist Hospital HQ,2
Mediscan Diagnostics Services Limited,1
Medway NHS Foundation Trust,2
Mersey Care NHS Foundation Trust,6
Mid Cheshire Hospitals NHS Foundation Trust,3
Mid Yorkshire Hospitals NHS Trust,3
Mid and South Essex NHS Foundation Trust,7
Midlands Partnership NHS Foundation Trust,10
Milton Keynes University Hospital NHS Foundation Trust,1
Moorfields Eye Hospital NHS Foundation Trust,1
Mundesley Hospital,1
Mya Cosmetic Surgery Limited,1
Netcare Healthcare UK,1
Norfolk Community Health and Care NHS Trust,8
Norfolk and Norwich University Hospitals NHS Foundation Trust,2
Norfolk and Suffolk NHS Foundation Trust,13
North Bristol NHS Trust,3
North Cumbria Integrated Care NHS Foundation Trust,9
North Cumbria University Hospitals NHS Trust,1
North East London NHS Foundation Trust,3
North Middlesex University Hospital NHS Trust,1
North Somerset Community Partnership Community Interest Company,1
North Staffordshire Combined Healthcare NHS Trust,1
North Tees and Hartlepool NHS Foundation Trust,2
North West Anglia NHS Foundation Trust,3
Northampton General Hospital NHS Trust,1
Northamptonshire Healthcare NHS Foundation Trust,6
Northern Devon Healthcare NHS Trust,6
Northern Lincolnshire and Goole NHS Foundation Trust,2
Northumbria Healthcare NHS Foundation Trust,11
Nottingham University Hospitals NHS Trust,3
Nottinghamshire Healthcare NHS Foundation Trust,4
Nuffield Health,29
One Healthcare,2
Optegra UK,6
Orthopaedics and Spine Specialist Hospital,1
Other Private Healthcare Providers,1
Oxford Health NHS Foundation Trust,11
Oxford University Hospitals NHS Foundation Trust,9
Oxleas NHS Foundation Trust,7
Partnerships In Care Ltd,6
Pds Medical Ltd,3
Peninsula Plastic Surgery Ltd,1
Peninsula Ultrasound Limited,1
Pennine Acute Hospitals NHS Trust,5
Pennine Care NHS Foundation Trust,2
Phoenix Hospital Group,4
Poole Hospital NHS Foundation Trust,1
Portsmouth Hospitals NHS Trust,4
Practice Plus Group,5
Priory Group Limited,18
Queen Victoria Hospital NHS Foundation Trust,1
Ramsay Healthcare UK Operations Limited,31
Riverdale Grange Limited,1
Robert Jones and Agnes Hunt Orthopaedic and District Hospital NHS Trust,2
Rotherham Doncaster and South Humber NHS Foundation Trust,3
Royal Berkshire NHS Foundation Trust,2
Royal Brompton and Harefield NHS Foundation Trust,2
Royal Cornwall Hospitals NHS Trust,5
Royal Devon and Exeter NHS Foundation Trust,14
Royal Free London NHS Foundation Trust,8
Royal National Orthopaedic Hospital NHS Trust,2
Royal Papworth Hospital NHS Foundation Trust,1
Royal Surrey NHS Foundation Trust,4
Royal United Hospitals Bath NHS Foundation Trust,3
Rushcliffe Care,1
Salford Royal NHS Foundation Trust,1
Salisbury NHS Foundation Trust,3
Sandwell and West Birmingham Hospitals NHS Trust,3
Serco Ltd,1
Sheffield Children's NHS Foundation Trust,1
Sheffield Health and Social Care NHS Foundation Trust,6
Sheffield Teaching Hospitals NHS Foundation Trust,6
Sherwood Forest Hospitals NHS Foundation Trust,4
Shrewsbury and Telford Hospital NHS Trust,2
Shropshire Community Health NHS Trust,4
Sirona Care & Health,2
Solent NHS Trust,6
Somerset Partnership NHS Foundation Trust,15
South London and Maudsley NHS Foundation Trust,4
South Tees Hospitals NHS Foundation Trust,5
South Tyneside And Sunderland NHS Foundation Trust,1
South Tyneside NHS Foundation Trust,5
South Warwickshire NHS Foundation Trust,5
South West London and St George's Mental Health NHS Trust,4
South West Yorkshire Partnership NHS Foundation Trust,2
Southern Health NHS Foundation Trust,14
Southport and Ormskirk Hospital NHS Trust,2
Spamedica,2
Spire Healthcare,35
St George's University Hospitals NHS Foundation Trust,2
St Georges Hospital Ltd,1
St Helens and Knowsley Hospitals NHS Trust,3
St Jude's Women's Hospital,1
St Lukes Hospice (Harrow),1
St. Luke's Health Care,1
Stockport NHS Foundation Trust,1
Surrey Healthy Children And Families LLP,1
Surrey and Borders Partnership NHS Foundation Trust,7
Surrey and Sussex Healthcare NHS Trust,1
Sussex Community NHS Foundation Trust,6
Sussex Partnership NHS Foundation Trust,8
Tameside Hospital NHS Foundation Trust,2
Taunton and Somerset NHS Foundation Trust,2
"Tees, Esk and Wear Valleys NHS Foundation Trust",11
The Christie NHS Foundation Trust,1
The Clatterbridge Cancer Centre NHS Foundation Trust,1
The Dudley Group NHS Foundation Trust,3
The Hillingdon Hospitals NHS Foundation Trust,2
The Horder Centre,1
The Huntercombe Group,4
The New Foscote Hospital Ltd,2
The Newcastle Upon Tyne Hospitals NHS Foundation Trust,6
The Princess Alexandra Hospital NHS Trust,2
"The Queen Elizabeth Hospital, King's Lynn. NHS Foundation Trust",2
The Retreat Hospital,1
The Rotherham NHS Foundation Trust,2
The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,3
The Royal Buckinghamshire Hospital Ltd,1
The Royal Hospital For Neuro-Disability,1
The Royal Marsden NHS Foundation Trust,2
The Royal Orthopaedic Hospital NHS Foundation Trust,1
The Royal Wolverhampton NHS Trust,3
The Walton Centre NHS Foundation Trust,1
Torbay and South Devon NHS Foundation Trust,7
Tower Hamlets Gp Care Group CIC,1
Trent Pts,2
United Lincolnshire Hospitals NHS Trust,2
University College London Hospitals NHS Foundation Trust,6
University Hospital Southampton NHS Foundation Trust,3
University Hospital of Derby and Burton NHS Foundation Trust,4
University Hospitals Birmingham NHS Foundation Trust,4
University Hospitals Bristol and Weston NHS Foundation Trust,8
University Hospitals Coventry and Warwickshire NHS Trust,2
University Hospitals Dorset NHS Foundation Trust,1
University Hospitals Of Leicester NHS Trust,7
University Hospitals Of Morecambe Bay NHS Foundation Trust,3
University Hospitals Plymouth NHS Trust,5
University Hospitals of North Midlands,2
Virgin Care Ltd,1
Virgin Care Services Ltd,3
Walsall Healthcare NHS Trust,1
Warrington and Halton Hospitals NHS Foundation Trust,4
Welbeck Healthcare Limited,1
West Hertfordshire Hospitals NHS Trust,4
West London NHS Trust,3
West Suffolk NHS Foundation Trust,1
Western Sussex Hospitals NHS Foundation Trust,3
Whittington Health NHS Trust,3
Wiltshire Health & Care,1
Wirral University Teaching Hospital NHS Foundation Trust,3
Woodside Hospital,1
Worcestershire Acute Hospitals NHS Trust,4
Worcestershire Health and Care NHS Trust,4
"Wrightington, Wigan and Leigh NHS Foundation Trust",3
Wye Valley NHS Trust,4
Yeovil District Hospital NHS Foundation Trust,1
York Teaching Hospital NHS Foundation Trust,8
